Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp
682,2.391655927,4.617195828,2.848982106,76.27241676,69.88460898
605,5.466876947,6.424360743,5.727520182,73.22267936,74.90731428
658,3.434232242,3.680896322,1.678708216,88.08991608,78.70480574
749,2.09465646,7.120927027,1.639670371,77.66162517,82.38670024
676,3.538228013,5.956472376,3.225336254,75.22635187,67.15322018
589,2.933888199,6.358463609,2.461477519,77.53461611,75.40374481
885,2.034509032,15.49967975,1.522790105,78.95964491,80.81798458
576,5.495972304,13.11465835,1.251057534,78.09138962,71.93467395
535,3.15943959,8.676361213,1.26513919,82.4087222,80.75274747
806,3.946885434,21.13832551,1.572568832,74.92331648,72.11269162
1157,4.515704754,4.627772881,2.788218804,75.29746852,82.76402459
731,3.383522662,6.905390494,2.79960399,75.23770822,78.4441281
550,5.336468654,9.64562224,1.935837073,75.26636473,74.79393435
978,4.366676299,6.638085427,2.829642622,88.03830127,78.48878212
768,1.741204762,6.508533819,1.371710033,82.97883182,83.58024294
712,3.270437194,6.759980657,3.382763997,76.79989557,76.50284757
1023,2.008805662,6.636909964,3.409816818,86.48554442,77.35467826
1312,5.963438892,7.563577763,5.931952727,77.73887555,88.66197194
881,2.61156312,5.870778769,1.347794425,77.17089749,79.37655348
1189,3.776088656,6.065286419,0.995444637,75.9383835,71.17425834
437,2.693598404,11.03760475,1.326968303,76.75258056,77.06677319
420,2.240302394,4.47408909,1.415427308,75.97362302,71.9606857
995,2.518348427,4.659099709,1.95188715,74.18385266,71.86052373
1411,3.518328735,4.158887017,2.044415806,78.0238853,86.24302652
583,2.331887184,5.947066674,2.17849569,83.78090059,78.0489238
957,2.922171074,4.281124941,0.263216487,74.33229009,77.98141005
634,3.505142465,7.167420637,2.440673431,78.11832967,80.72046311
906,3.12347478,4.836099786,1.96255992,86.66767916,71.67302021
644,4.398580099,3.913021681,3.354028418,77.77835994,83.63044119
482,2.704870344,7.348635037,3.410127161,76.43028872,85.99130471
1129,2.309523221,5.902515133,1.373239287,77.76946017,67.05531717
478,2.610547588,7.001139205,2.235324813,75.19508709,84.21483355
581,4.611077722,5.814586179,1.397271428,79.2807642,74.72754264
604,4.500835509,9.27119956,1.819652786,75.87229743,79.83568798
974,2.406434854,8.351376665,2.115063175,75.80758901,82.39839793
1374,2.543575167,8.641019829,1.541130671,82.26857529,66.81030323
877,2.986160306,6.472392503,2.954737025,77.82013279,73.06476508
691,3.114957509,8.880785994,2.52994353,76.42012662,84.9457721
1189,2.217923989,6.032801197,2.92119124,77.07403275,69.40912128
1026,4.222343765,7.79102944,5.788750354,76.05323789,82.98691769
957,2.606340193,5.244942752,1.764043092,76.81830144,77.97995149
630,2.479749864,8.718685155,2.482158034,76.59002556,67.47494574
606,1.802312975,6.326789492,1.235788502,73.90453642,75.97980549
1095,1.780945669,6.519416597,1.560544242,74.02024865,91.09546091
764,1.901425176,7.515204715,3.073447322,74.76129935,91.07875266
616,4.576592318,8.535923064,0.91756861,83.02350443,70.07914861
1121,3.031459897,7.363303937,2.499724299,81.47845427,76.26667029
1103,2.508734691,5.63261891,2.256141472,74.68370485,76.89731557
924,2.768431763,7.054433956,1.371186751,76.16275034,77.87742296
814,4.278530115,7.475020155,3.010202203,76.18134027,78.06702034
1143,2.251100849,5.311892009,1.649676508,84.2495833,81.23760403
580,3.20005323,4.061579192,1.508118653,76.36339745,78.84382834
625,5.618394192,6.188778205,1.13334833,74.16153565,76.83206766
634,2.870265538,5.199727244,1.207352356,80.34292324,78.14670449
380,2.394812994,7.577545798,1.213487868,78.5125284,78.78631072
1122,3.110328835,4.889140389,4.594903774,74.22112975,77.93100124
489,2.667227309,7.132621744,3.112086375,75.04427634,71.64076854
639,3.633028682,6.890670257,2.161282205,82.79368928,79.92773601
517,2.840868828,6.451358605,1.974187183,77.23831063,80.30243443
1239,3.969398488,5.327650508,2.499353662,77.35800397,80.28497965
698,2.411821812,3.999255868,2.318412679,75.37801354,78.85398985
